time,speed_compact_summer_test1,speed_compact_summer_test2,speed_compact_summer_test3,speed_compact_summer_test4,speed_compact_summer_test5,speed_compact_allSeason_test1,speed_compact_allSeason_test2,speed_compact_allSeason_test3,speed_compact_allSeason_test4,speed_compact_allSeason_test5,speed_compact_winter_test1,speed_compact_winter_test2,speed_compact_winter_test3,speed_compact_winter_test4,speed_compact_winter_test5,speed_sedan_summer_test1,speed_sedan_summer_test2,speed_sedan_summer_test3,speed_sedan_summer_test4,speed_sedan_summer_test5,speed_sedan_allSeason_test1,speed_sedan_allSeason_test2,speed_sedan_allSeason_test3,speed_sedan_allSeason_test4,speed_sedan_allSeason_test5,speed_sedan_winter_test1,speed_sedan_winter_test2,speed_sedan_winter_test3,speed_sedan_winter_test4,speed_sedan_winter_test5,speed_suv_summer_test1,speed_suv_summer_test2,speed_suv_summer_test3,speed_suv_summer_test4,speed_suv_summer_test5,speed_suv_allSeason_test1,speed_suv_allSeason_test2,speed_suv_allSeason_test3,speed_suv_allSeason_test4,speed_suv_allSeason_test5,speed_suv_winter_test1,speed_suv_winter_test2,speed_suv_winter_test3,speed_suv_winter_test4,speed_suv_winter_test5
0,-0.203,0.41,-0.583,-0.145,-0.698,0.317,0.086,-0.853,0.317,-0.264,-0.011,0.493,-0.17,-0.524,-0.003,-0.021,-0.514,0.428,0.246,-0.132,-0.174,0.339,0.499,0.815,-0.359,0.203,0.013,0.33,0.388,-0.831,-0.417,-0.165,-0.848,-0.218,-0.503,-0.758,-0.186,-0.136,-0.333,-0.615,0.15,-0.217,1.386,0.363,0.702
0.01,-0.383,0.198,0.409,-0.219,0.091,0.627,-0.12,0.855,0.109,-0.597,0.275,-1.149,-0.156,-0.087,-0.916,0.515,-0.202,-0.033,-0.233,-0.136,-0.559,-0.915,-0.334,-0.456,0.002,-0.055,-0.538,0.866,-0.088,0.818,-1.107,-0.47,-1.457,0.073,0.091,-0.049,-0.229,-0.291,-1.103,0.47,0.127,0.178,-1.2,0.092,-0.111
0.02,-0.029,-0.82,-0.544,-0.817,0.2,0.183,-0.089,-0.919,0.172,0.038,0.367,-0.423,0.472,0.014,-0.64,-0.1,0.191,0.035,-0.232,NaN,-0.156,-0.967,-1.395,-1.017,0.078,-0.03,0.961,0.655,0.967,0.191,-0.14,-0.232,0.093,-0.293,0.801,0.652,-0.251,0.131,0.125,-0.77,-0.225,-0.954,0.939,-0.338,0.225
0.03,-0.031,0.42,-0.172,-0.888,-0.082,-0.228,-1.036,-0.605,-0.133,-0.987,-0.193,-0.791,-0.294,0.793,0.132,0.469,-1.026,-0.218,-0.561,1.049,NaN,-0.497,0.173,0.367,-0.736,0.24,0.464,-0.447,-0.024,-0.153,1.05,-0.927,0.88,0.207,0.87,0.208,-0.246,-0.737,-0.845,0.258,-1.048,-0.122,-0.325,-0.679,-0.861
0.04,-0.995,-1.029,0.425,-0.462,-0.25,0.519,-0.606,-0.97,0.495,-0.426,-0.969,-1.754,-0.318,-1.424,-0.847,0.182,-0.572,1.038,0.888,0.521,-0.56,0.516,-0.955,0.396,0.181,-0.725,-1.051,-0.19,0.578,0.55,-0.526,0.316,-0.483,-0.472,-0.842,-0.714,-0.191,-0.075,-0.779,-1.234,0.8,-0.896,0.22,-0.574,0.637
0.05,-0.777,0.336,-0.694,0.747,-1.128,NaN,0.928,-0.45,-1.062,0.549,-1.126,-0.557,1.024,1,0.084,-0.467,-0.545,0.472,-0.463,-0.909,0.012,-0.135,0.881,-0.643,0.65,0.099,0.507,-0.11,-0.849,0.036,-0.161,-0.102,-0.665,-0.952,0.367,-0.72,-0.887,0.54,0.251,-0.1,0.324,-0.073,-1.136,0.343,-0.48
0.06,-0.635,0.271,-0.985,-0.021,-0.971,-0.29,1.19,0.923,0.162,-0.491,-0.252,0.521,-0.304,-1.513,0.598,0.085,0.41,0.084,0.191,-0.303,0.295,-0.78,1.153,-0.016,NaN,0.751,-0.992,-0.843,0.481,-0.992,-0.568,-1.462,-0.27,0.058,-1.138,-0.028,-1.319,-0.345,0.031,0.592,0.223,-0.885,0.996,0.241,-0.199
0.07,-0.069,-0.952,1.128,0.631,-1.178,-0.865,-0.362,0.227,-0.42,-1.048,0.571,-0.286,-0.652,-0.352,0.13,-0.841,-0.631,-0.56,0.801,-0.041,-0.174,0.202,0.449,0.473,NaN,0.01,-0.346,0.11,0.017,-0.752,-1.1,0.657,-0.384,-1.179,0.203,0.135,-0.45,0.346,0.68,0.191,-1.017,-1.18,-0.37,-0.02,0.164
0.08,-0.613,0.196,-0.543,0.854,-1.093,NaN,0.778,0.204,-0.394,0.26,0.482,0.186,0.273,-0.688,0.13,-0.573,-0.048,0.885,-0.255,-0.522,0.856,-0.643,NaN,0.017,-0.696,0.053,0.245,-0.277,-0.682,0.691,-0.157,0.147,0.05,-0.168,-0.72,-1.152,0.26,-1.07,-0.042,-0.57,-0.775,1.082,-0.368,-1.032,-0.312
0.09,0.442,-0.989,0.602,-0.414,0.067,0.801,-0.261,0.112,-0.308,-0.084,-0.67,-0.693,-1.423,-0.102,0.517,0.317,-0.467,-0.211,-0.524,0.237,0.129,0.643,-0.397,-0.17,0.785,-0.685,0.022,-1.234,-0.321,-0.015,-0.284,0.35,0.583,0.428,0.106,NaN,-0.088,0.521,0.633,-0.052,-1.451,-0.211,0.476,0.584,-1.265
